RA vs C ,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA,,RA vs C,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA
ACYP1,ACYP1,ACYP1,ACYP1,ACYP1,,0.122223205,0.219279914,0.077012467,0.008947563,-0.019070218
ACYP2,ACYP2,ACYP2,ACYP2,ACYP2,,-0.140104267,-0.051040348,-0.081388056,0.317755321,0.29375224
ADAL,ADAL,ADAL,ADAL,ADAL,,0.086895401,0.049760293,0.015945029,0.103726888,0.023038595
ADAM10,ADAM10,ADAM10,ADAM10,ADAM10,,0.260903738,-0.000278261,0.162182875,0.2864094,0.05527068
ADAM11,ADAM11,ADAM11,ADAM11,ADAM11,,0.623425759,0.472901714,0.665805431,0.297646769,-0.256827267
ADAM12,ADAM12,ADAM12,ADAM12,ADAM12,,-1.132155513,-0.935563131,-1.319547793,0.117940747,0.035954483
ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,,-0.178124679,0.106178128,0.00819948,-0.211649049,-0.113876695
ADAM17,ADAM17,ADAM17,ADAM17,ADAM17,,0.476115182,0.089098923,0.170694272,0.460040815,0.272332843
ADAM1A,ADAM1A,ADAM1A,ADAM1A,ADAM1A,,-0.184622933,0.126877444,0.074530087,-0.310451498,-0.208897389
ADAM22,ADAM22,ADAM22,ADAM22,ADAM22,,-0.201978301,-0.090970147,0.244656755,-0.679019003,-0.531653989
ADAM32,ADAM32,ADAM32,ADAM32,ADAM32,,0.160025238,-0.157955552,-0.652971527,-0.203987348,-1.285973612
ADAM8,ADAM8,ADAM8,ADAM8,ADAM8,,-0.101142809,0.396600186,0.12704631,0.227843742,-0.355173873
ADAM9,ADAM9,ADAM9,ADAM9,ADAM9,,-0.367721741,-0.16331456,0.104777474,-0.823268433,-0.571687275
ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1,,0.160025238,-0.742918053,-0.389937121,1.340333169,0.035954483
ADAMTS10,ADAMTS10,ADAMTS10,ADAMTS10,ADAMTS10,,-0.888884362,-0.110649837,-0.209364876,-0.577204671,-0.296620856
ADAMTS13,ADAMTS13,ADAMTS13,ADAMTS13,ADAMTS13,,1.474340149,0.460365545,0.108089743,1.05381041,0.512392527
ADAMTS14,ADAMTS14,ADAMTS14,ADAMTS14,ADAMTS14,,8.119665002,-0.935563131,-0.1675447,9.362007211,8.434163744
ADAMTS17,ADAMTS17,ADAMTS17,ADAMTS17,ADAMTS17,,-1.012299856,-0.05136013,0.069029337,-1.19748871,-0.721785404
ADAMTS20,ADAMTS20,ADAMTS20,ADAMTS20,ADAMTS20,,0.526807569,0.138437451,1.199237631,0.088193404,-0.720774366
ADAMTS9,ADAMTS9,ADAMTS9,ADAMTS9,ADAMTS9,,0.382417659,0.175468182,-0.056513388,-0.549483914,-0.018493301
ADAMTSL4,ADAMTSL4,ADAMTSL4,ADAMTSL4,ADAMTSL4,,0.449531855,-0.198597537,-0.389937121,1.742431612,1.566469199
ADAMTSL4-AS1,ADAMTSL4-AS1,ADAMTSL4-AS1,ADAMTSL4-AS1,ADAMTSL4-AS1,,1.896990832,0.064436869,0.195025379,1.471577702,1.3254611
ADAP1,ADAP1,ADAP1,ADAP1,ADAP1,,-0.254300417,0.129588439,-0.110583303,0.245215936,0.150388845
ADAP2,ADAP2,ADAP2,ADAP2,ADAP2,,1.230414566,-1.257491226,0.095489706,2.577372366,0.620916983
ADAR,ADAR,ADAR,ADAR,ADAR,,0.361234922,-0.009536044,0.176882222,0.102399398,0.163663244
ADARB1,ADARB1,ADARB1,ADARB1,ADARB1,,0.267136874,0.162400123,0.227314917,0.0871347,0.001480565
ADAT1,ADAT1,ADAT1,ADAT1,ADAT1,,0.214052558,-0.115454485,0.097191332,0.120772338,0.166829268
ADAT2,ADAT2,ADAT2,ADAT2,ADAT2,,-0.188344972,0.0563278,0.155049174,-0.736383947,-0.538585929
ADAT3,ADAT3,ADAT3,ADAT3,ADAT3,,-0.352265189,0.036758417,-0.518898909,0.190410386,0.334968186
ADCK1,ADCK1,ADCK1,ADCK1,ADCK1,,-0.03261984,0.185743165,-0.023154791,0.412123852,-0.206615821
ADCK3,ADCK3,ADCK3,ADCK3,ADCK3,,-0.702465219,-0.040600153,0.016458701,-0.880835815,-0.748287685
ADCK4,ADCK4,ADCK4,ADCK4,ADCK4,,0.439213364,0.170760845,0.061531427,0.692668534,0.629520774
ADCK5,ADCK5,ADCK5,ADCK5,ADCK5,,-0.017538216,0.157773667,-0.015723547,0.312222462,0.031033403
ADCY1,ADCY1,ADCY1,ADCY1,ADCY1,,0.212492658,0.594951586,0.247492799,-0.297096752,0.357882577
ADCY10P1,ADCY10P1,ADCY10P1,ADCY10P1,ADCY10P1,,-0.174799851,-0.037101157,-0.625226537,0.117940747,0.282869223
ADCY3,ADCY3,ADCY3,ADCY3,ADCY3,,-0.12471413,-8.91608E-05,0.072458737,-0.519079782,-0.242640729
ADCY4,ADCY4,ADCY4,ADCY4,ADCY4,,3.514123339,-0.322586254,0.066920554,3.837671804,3.431702811
ADCY5,ADCY5,ADCY5,ADCY5,ADCY5,,-0.787507342,-1.690450633,-0.752507201,-0.467021754,0.724010476
ADCY7,ADCY7,ADCY7,ADCY7,ADCY7,,0.463549628,0.110930752,0.133740446,0.714970547,0.379531565
ADCY9,ADCY9,ADCY9,ADCY9,ADCY9,,0.215191031,-0.099992935,0.059588754,0.055552055,0.103907511
ADD1,ADD1,ADD1,ADD1,ADD1,,0.514813669,0.122432946,0.104326331,0.550134672,0.451552485
ADD2,ADD2,ADD2,ADD2,ADD2,,-0.232292185,-0.045652583,-0.239996494,0.117940747,0.137552623
ADD3,ADD3,ADD3,ADD3,ADD3,,1.287408259,-0.022147191,0.171232682,1.332008028,1.121895537
ADD3-AS1,ADD3-AS1,ADD3-AS1,ADD3-AS1,ADD3-AS1,,-0.492051459,-0.810032249,-1.305048224,0.603367574,0.714026388
